,COMUNAS,BARRIOS,LUGAR_DEL_HECHO,N_VICTIMAS,pos x,pos y
39,13,BELGRANO - COLEGIALES - NUÃ‘EZ,AUTOPISTA LUGONES PK 10000,1,,
40,12,COGHLAN - SAAVEDRA - VILLA PUEYRREDON - VILLA URQUIZA,AV TRIUNVIRATO Y AV OLAZABAL,1,-58.4842918,-34.57558053
41,8,VILLA LUGANO - VILLA RIACHUELO - VILLA SOLDATI,AU LUIS DELLEPIANE Y AV GRAL PAZ,1,-58.48695354,-34.68795245
42,14,PALERMO,RAMON CASTILLA Y AV FIGUEROA ALCORTA,1,-58.40021959,-34.57964781
43,14,PALERMO,AV LUIS MARIA CAMPOS 30,1,-58.42957885,-34.57660058
44,1,CONSTITUCION - MONTSERRAT - PUERTO MADERO - RETIRO - SAN NICOLAS - SAN TELMO,LIMA 1471,1,-58.38247542,-34.62556293
45,1,CONSTITUCION - MONTSERRAT - PUERTO MADERO - RETIRO - SAN NICOLAS - SAN TELMO,PASAJE CIUDADELA Y LIMA OESTE,1,-58.38222219,-34.62728101
46,10,FLORESTA - MONTE CASTRO - VELEZ SARSFIELD - VERSALLES - VILLA LURO - VILLA REAL,AV JUAN B JUSTO Y AV CARRASCO,1,-58.49485242,-34.62953445
47,6,CABALLITO,AV GAONA Y ESPINOSA,1,-58.45227946,-34.61068024
48,8,VILLA LUGANO - VILLA RIACHUELO - VILLA SOLDATI,AV LISANDRO DE LA TORRE Y SARAZA,1,-58.48455411,-34.6751276
49,2,RECOLETA,AV FIGUEROA ALCORTA Y AV PUEYRREDON,1,-58.39056593,-34.58418569
50,3,BALVANERA - SAN CRISTOBAL,AV ENTRE RIOS Y PASAJE FILIBERTO,1,-58.39118948,-34.62704273
51,10,FLORESTA - MONTE CASTRO - VELEZ SARSFIELD - VERSALLES - VILLA LURO - VILLA REAL,MAGARIÑOS CERVANTES 3900,1,-58.49021952,-34.62025108
52,8,VILLA LUGANO - VILLA RIACHUELO - VILLA SOLDATI,AV GRAL PAZ Y RODOLFO SCAPINO,1,-58.49896559,-34.67732118
53,8,VILLA LUGANO - VILLA RIACHUELO - VILLA SOLDATI,AUTOPISTA DELLEPIANE LUIS TTE GRAL Y MIRALLA,1,-58.47461076,-34.66874679
54,15,AGRONOMIA - CHACARITA -  PARQUE CHAS -  PATERNAL - VILLA CRESPO - VILLA ORTUZAR,AV SAN MARTIN Y CAMARONES,1,-58.46210891,-34.60356211
55,1,CONSTITUCION - MONTSERRAT - PUERTO MADERO - RETIRO - SAN NICOLAS - SAN TELMO,TTEG JUAN D PERON Y AVDA LEANDRO N ALEM,1,-58.3702777,-34.60536123
56,3,BALVANERA - SAN CRISTOBAL,AV BELGRANO Y AV JUJUY,1,-58.40491455,-34.6146383
57,13,BELGRANO - COLEGIALES - NUÃ‘EZ,AV DEL LIBERTADOR Y AV GUILLERMO UDAONDO,1,-58.45504154,-34.54864492
58,9,LINIERS - MATADEROS - PARQUE AVELLANEDA,AV GRAL PAZ Y AV RIVADAVIA,1,-58.52927982,-34.63931752
59,12,COGHLAN - SAAVEDRA - VILLA PUEYRREDON - VILLA URQUIZA,AV CRISOLOGO LARRALDE Y MACHAIN,1,-58.4872106,-34.55904606
60,4,BARRACAS - BOCA - NUEVA POMPEYA - PARQUE PATRICIOS,AV LA PLATA 2384,1,-58.42273092,-34.64228803
61,6,CABALLITO,AV JUAN B ALBERDI Y PUAN,1,-58.44788671,-34.62539009
62,1,CONSTITUCION - MONTSERRAT - PUERTO MADERO - RETIRO - SAN NICOLAS - SAN TELMO,CARLOS PELLEGRINI Y TUCUMAN,1,-58.38110563,-34.60135531
63,4,BARRACAS - BOCA - NUEVA POMPEYA - PARQUE PATRICIOS,AVDA ITE FRANCISCO RABANAL & AVDA EREZCANO,1,-58.42378834,-34.657341
64,10,FLORESTA - MONTE CASTRO - VELEZ SARSFIELD - VERSALLES - VILLA LURO - VILLA REAL,AV OLIVERA Y RAMON FALCON,1,-58.48727942,-34.63652467
65,1,CONSTITUCION - MONTSERRAT - PUERTO MADERO - RETIRO - SAN NICOLAS - SAN TELMO,AUTOPISTA 1 SUR PTE ARTURO FRONDIZI Y AV CASEROS,1,-58.37864583,-34.62907067
66,12,COGHLAN - SAAVEDRA - VILLA PUEYRREDON - VILLA URQUIZA,CERETTI Y NUÑEZ,1,-58.5015175,-34.56767549
67,13,BELGRANO - COLEGIALES - NUÃ‘EZ,AV LUGONES Y LA PAMPA,1,-58.43233425,-34.55185825
68,5,ALMAGRO - BOEDO,JERONIMO SALGUERO Y AV RIVADAVIA,1,-58.41971993,-34.6111224
69,13,BELGRANO - COLEGIALES - NUÃ‘EZ,AV GRAL PAZ Y AV LIBERTADOR ,1,-58.46743471,-34.53476874
70,6,CABALLITO,AV JUAN B ALBERDI Y EMILIO MITRE,1,-58.44362126,-34.62301748
71,11,VILLA DEL PARQUE - VILLA  DEVOTO - VILLA GRAL. MITRE - VILLA SANTA RITA,MERCEDES Y AV GRAL MOSCONI,1,-58.51713095,-34.59546519
72,8,VILLA LUGANO - VILLA RIACHUELO - VILLA SOLDATI,"AUTOPISTA DELLEPIANE LUIS TTE. GRAL. KM. 2,3",1,-58.47433193007387,-34.66684950051973
73,1,CONSTITUCION - MONTSERRAT - PUERTO MADERO - RETIRO - SAN NICOLAS - SAN TELMO,SOLIS Y MEXICO,1,-58.39038605,-34.6156281
74,3,BALVANERA - SAN CRISTOBAL,AV SAN JUAN Y ALBERTI,1,-58.40042405,-34.62356174
75,11,VILLA DEL PARQUE - VILLA  DEVOTO - VILLA GRAL. MITRE - VILLA SANTA RITA,AV GRAL MOSCONI Y AV GRAL PAZ,1,-58.52340614,-34.59798754
76,12,COGHLAN - SAAVEDRA - VILLA PUEYRREDON - VILLA URQUIZA,AV GRAL PAZ  Y DONADO,1,-58.49491054,-34.54795581
77,9,LINIERS - MATADEROS - PARQUE AVELLANEDA,AV GRAL PAZ Y JORGE CHAVEZ,1,-58.52932872,-34.65014993
78,9,LINIERS - MATADEROS - PARQUE AVELLANEDA,AV EVA PERON Y JOSE LEON SUAREZ,1,-58.50011639,-34.67316502
79,9,LINIERS - MATADEROS - PARQUE AVELLANEDA,ZINNY Y AV SANTIAGO DE COMPOSTELA,1,-58.46635001,-34.65624369
